ImageNumber,ObjectNumber,Metadata_Assay,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Magnification,Metadata_Plate,Metadata_Series,Metadata_Well,Metadata_wavelength,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,10.018431740081224,140.3998750390503,1
1,2,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,30.932213930348258,142.53264925373134,2
1,3,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,51.98006329113924,140.57974683544305,3
1,4,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,72.74375678610207,164.16313789359393,4
1,5,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,93.51517996870109,142.94428794992174,5
1,6,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,114.79436258808457,139.02306213965406,6
1,7,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,136.0504527813713,138.79689521345406,7
1,8,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,156.63149704326176,142.86523498288204,8
1,9,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,177.67393675027262,163.8020719738277,9
1,10,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,199.01263918146253,145.5732771591935,10
1,11,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,219.92540322580646,135.55040322580646,11
1,12,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,240.87530339805826,148.0722087378641,12
1,13,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,262.1895465994962,140.42411838790932,13
1,14,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,282.6179450072359,123.74674384949348,14
1,15,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,303.7778131973223,140.4686005737966,15
1,16,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,324.9581761006289,142.3254716981132,16
1,17,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,345.64742983286027,141.29454430778935,17
1,18,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,367.1065468549422,137.52021822849807,18
1,19,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,388.0528481012658,144.2243670886076,19
1,20,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,409.1223195409242,144.25460585925703,20
1,21,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,430.07190737355273,146.06946983546618,21
1,22,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,451.08537313432834,148.03850746268657,22
1,23,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,471.8378378378378,151.87661574618096,23
1,24,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,492.5395799676898,138.03134087237478,24
1,25,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,513.9011771995043,149.70600991325898,25
1,26,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,534.4927587424938,138.10667608618863,26
1,27,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,555.9881804043546,145.85816485225504,27
1,28,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,576.8745053702656,155.83013001695875,28
1,29,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,598.2044772044773,161.54327054327055,29
1,30,dauerProtocol1,20220407,nan,0,m2X,p002,0,A01,nan,618.5797297297297,132.80337837837837,30
