"","date","plate","row","col","strain","condition","well"
"1","20220427",1,"A","1","N2","4hr_20uMascr","A"
"2","20220427",1,"A","2","N2","4hr_20uMascr","A"
"3","20220427",1,"A","3","N2","4hr_20uMascr","A"
"4","20220427",1,"A","4","N2","4hr_20uMascr","A"
"5","20220427",1,"A","5","N2","4hr_20uMascr","A"
"6","20220427",1,"A","6","N2","4hr_20uMascr","A"
"7","20220427",1,"A","7","N2","20min_20uMascr","A"
"8","20220427",1,"A","8","N2","20min_20uMascr","A"
"9","20220427",1,"A","9","N2","20min_20uMascr","A"
"10","20220427",1,"A","10","N2","20min_20uMascr","A"
"11","20220427",1,"A","11","N2","20min_20uMascr","A"
"12","20220427",1,"A","12","N2","20min_20uMascr","A"
"13","20220427",1,"B","1","N2","4hr_10uMascr","B"
"14","20220427",1,"B","2","N2","4hr_10uMascr","B"
"15","20220427",1,"B","3","N2","4hr_10uMascr","B"
"16","20220427",1,"B","4","N2","4hr_10uMascr","B"
"17","20220427",1,"B","5","N2","4hr_10uMascr","B"
"18","20220427",1,"B","6","N2","4hr_10uMascr","B"
"19","20220427",1,"B","7","N2","20min_10uMascr","B"
"20","20220427",1,"B","8","N2","20min_10uMascr","B"
"21","20220427",1,"B","9","N2","20min_10uMascr","B"
"22","20220427",1,"B","10","N2","20min_10uMascr","B"
"23","20220427",1,"B","11","N2","20min_10uMascr","B"
"24","20220427",1,"B","12","N2","20min_10uMascr","B"
"25","20220427",1,"C","1","N2","4hr_5uMascr","C"
"26","20220427",1,"C","2","N2","4hr_5uMascr","C"
"27","20220427",1,"C","3","N2","4hr_5uMascr","C"
"28","20220427",1,"C","4","N2","4hr_5uMascr","C"
"29","20220427",1,"C","5","N2","4hr_5uMascr","C"
"30","20220427",1,"C","6","N2","4hr_5uMascr","C"
"31","20220427",1,"C","7","N2","20min_5uMascr","C"
"32","20220427",1,"C","8","N2","20min_5uMascr","C"
"33","20220427",1,"C","9","N2","20min_5uMascr","C"
"34","20220427",1,"C","10","N2","20min_5uMascr","C"
"35","20220427",1,"C","11","N2","20min_5uMascr","C"
"36","20220427",1,"C","12","N2","20min_5uMascr","C"
"37","20220427",1,"D","1","N2","4hr_control","D"
"38","20220427",1,"D","2","N2","4hr_control","D"
"39","20220427",1,"D","3","N2","4hr_control","D"
"40","20220427",1,"D","4","N2","4hr_control","D"
"41","20220427",1,"D","5","N2","4hr_control","D"
"42","20220427",1,"D","6","N2","4hr_control","D"
"43","20220427",1,"D","7","N2","20min_control","D"
"44","20220427",1,"D","8","N2","20min_control","D"
"45","20220427",1,"D","9","N2","20min_control","D"
"46","20220427",1,"D","10","N2","20min_control","D"
"47","20220427",1,"D","11","N2","20min_control","D"
"48","20220427",1,"D","12","N2","20min_control","D"
"49","20220427",1,"E","1","N2","4hr_20uMascr","E"
"50","20220427",1,"E","2","N2","4hr_20uMascr","E"
"51","20220427",1,"E","3","N2","4hr_20uMascr","E"
"52","20220427",1,"E","4","N2","4hr_20uMascr","E"
"53","20220427",1,"E","5","N2","4hr_20uMascr","E"
"54","20220427",1,"E","6","N2","4hr_20uMascr","E"
"55","20220427",1,"E","7","N2","20min_20uMascr","E"
"56","20220427",1,"E","8","N2","20min_20uMascr","E"
"57","20220427",1,"E","9","N2","20min_20uMascr","E"
"58","20220427",1,"E","10","N2","20min_20uMascr","E"
"59","20220427",1,"E","11","N2","20min_20uMascr","E"
"60","20220427",1,"E","12","N2","20min_20uMascr","E"
"61","20220427",1,"F","1","N2","4hr_10uMascr","F"
"62","20220427",1,"F","2","N2","4hr_10uMascr","F"
"63","20220427",1,"F","3","N2","4hr_10uMascr","F"
"64","20220427",1,"F","4","N2","4hr_10uMascr","F"
"65","20220427",1,"F","5","N2","4hr_10uMascr","F"
"66","20220427",1,"F","6","N2","4hr_10uMascr","F"
"67","20220427",1,"F","7","N2","20min_10uMascr","F"
"68","20220427",1,"F","8","N2","20min_10uMascr","F"
"69","20220427",1,"F","9","N2","20min_10uMascr","F"
"70","20220427",1,"F","10","N2","20min_10uMascr","F"
"71","20220427",1,"F","11","N2","20min_10uMascr","F"
"72","20220427",1,"F","12","N2","20min_10uMascr","F"
"73","20220427",1,"G","1","N2","4hr_5uMascr","G"
"74","20220427",1,"G","2","N2","4hr_5uMascr","G"
"75","20220427",1,"G","3","N2","4hr_5uMascr","G"
"76","20220427",1,"G","4","N2","4hr_5uMascr","G"
"77","20220427",1,"G","5","N2","4hr_5uMascr","G"
"78","20220427",1,"G","6","N2","4hr_5uMascr","G"
"79","20220427",1,"G","7","N2","20min_5uMascr","G"
"80","20220427",1,"G","8","N2","20min_5uMascr","G"
"81","20220427",1,"G","9","N2","20min_5uMascr","G"
"82","20220427",1,"G","10","N2","20min_5uMascr","G"
"83","20220427",1,"G","11","N2","20min_5uMascr","G"
"84","20220427",1,"G","12","N2","20min_5uMascr","G"
"85","20220427",1,"H","1","N2","4hr_control","H"
"86","20220427",1,"H","2","N2","4hr_control","H"
"87","20220427",1,"H","3","N2","4hr_control","H"
"88","20220427",1,"H","4","N2","4hr_control","H"
"89","20220427",1,"H","5","N2","4hr_control","H"
"90","20220427",1,"H","6","N2","4hr_control","H"
"91","20220427",1,"H","7","N2","20min_control","H"
"92","20220427",1,"H","8","N2","20min_control","H"
"93","20220427",1,"H","9","N2","20min_control","H"
"94","20220427",1,"H","10","N2","20min_control","H"
"95","20220427",1,"H","11","N2","20min_control","H"
"96","20220427",1,"H","12","N2","20min_control","H"
